Task_ID,Priority_Level,Required_Man_Hours,Total_Cost,Status
TSK_016,2,12,3336,Approved & Allocated
TSK_139,2,12,3456,Approved & Allocated
TSK_065,3,13,5317,Approved & Allocated
TSK_023,2,11,3685,Approved & Allocated
TSK_051,3,11,5588,Approved & Allocated
TSK_081,3,17,5610,Approved & Allocated
TSK_066,2,11,3795,Approved & Allocated
TSK_140,3,10,5870,Approved & Allocated
TSK_098,2,10,4090,Approved & Allocated
TSK_120,3,17,6341,Approved & Allocated
TSK_057,3,17,7038,Approved & Allocated
TSK_069,2,13,4706,Approved & Allocated
TSK_113,2,14,4858,Approved & Allocated
TSK_042,3,18,7902,Approved & Allocated
TSK_118,2,16,5536,Approved & Allocated
TSK_077,3,23,8326,Approved & Allocated
TSK_141,3,14,8526,Approved & Allocated
TSK_018,1,11,2882,Approved & Allocated
TSK_121,3,21,9156,Approved & Allocated
TSK_008,3,28,9660,Approved & Allocated
TSK_049,2,18,6570,Approved & Allocated
TSK_096,3,24,10104,Approved & Allocated
TSK_103,2,10,6880,Approved & Allocated
TSK_072,3,35,10535,Approved & Allocated
TSK_146,2,18,7200,Approved & Allocated
TSK_067,2,15,7230,Approved & Allocated
TSK_061,3,26,10946,Approved & Allocated
TSK_034,2,25,7325,Approved & Allocated
TSK_105,2,17,7361,Approved & Allocated
TSK_003,2,24,7488,Approved & Allocated
TSK_095,3,38,11476,Approved & Allocated
TSK_083,3,32,11584,Approved & Allocated
TSK_086,3,25,11725,Approved & Allocated
TSK_119,2,18,8100,Approved & Allocated
TSK_045,2,13,8138,Approved & Allocated
TSK_005,2,17,8160,Approved & Allocated
TSK_138,2,23,8671,Approved & Allocated
TSK_108,3,26,13104,Approved & Allocated
TSK_026,2,21,8799,Approved & Allocated
TSK_033,3,37,13209,Approved & Allocated
TSK_134,1,10,4480,Approved & Allocated
TSK_019,3,33,13497,Approved & Allocated
TSK_027,2,31,9114,Approved & Allocated
TSK_109,2,17,9231,Approved & Allocated
TSK_015,3,33,13860,Approved & Allocated
TSK_010,2,20,9420,Approved & Allocated
TSK_035,3,24,14136,Approved & Allocated
TSK_040,2,16,9552,Approved & Allocated
TSK_007,3,48,14448,Approved & Allocated
TSK_082,2,23,10028,Approved & Allocated
TSK_012,3,33,15840,Approved & Allocated
TSK_147,3,24,15936,Approved & Allocated
TSK_100,2,16,10640,Approved & Allocated
TSK_088,3,27,15984,Approved & Allocated
TSK_002,3,38,16264,Approved & Allocated
TSK_087,3,54,16362,Approved & Allocated
TSK_080,3,24,16536,Deferred / Unallocated
TSK_085,2,30,11370,Deferred / Unallocated
TSK_044,3,27,17118,Deferred / Unallocated
TSK_143,2,23,11868,Deferred / Unallocated
TSK_046,3,34,18088,Deferred / Unallocated
TSK_131,2,31,12276,Deferred / Unallocated
TSK_084,2,49,12299,Deferred / Unallocated
TSK_055,1,16,6176,Deferred / Unallocated
TSK_094,3,50,18950,Deferred / Unallocated
TSK_125,2,32,12704,Deferred / Unallocated
TSK_014,3,49,19208,Deferred / Unallocated
TSK_011,2,20,13120,Deferred / Unallocated
TSK_142,2,35,13230,Deferred / Unallocated
TSK_038,1,12,6960,Deferred / Unallocated
TSK_032,2,51,14127,Deferred / Unallocated
TSK_132,2,36,14292,Deferred / Unallocated
TSK_041,2,30,14400,Deferred / Unallocated
TSK_117,2,37,14541,Deferred / Unallocated
TSK_013,3,45,21870,Deferred / Unallocated
TSK_068,3,51,21879,Deferred / Unallocated
