Task_ID,Arrival_Time,Wait_Time_In_Queue,Service_Duration,Total_Turnaround_Time
REQ_0002,1.39,0.0,2.88,2.88
REQ_0004,2.93,0.0,2.74,2.74
REQ_0001,0.84,0.0,8.01,8.01
REQ_0006,4.09,1.58,3.33,4.91
REQ_0003,1.75,0.0,8.16,8.16
REQ_0005,3.78,0.49,7.0,7.49
REQ_0008,6.4,2.59,4.39,6.99
REQ_0007,4.41,4.45,4.57,9.02
REQ_0009,6.52,3.39,6.66,10.05
REQ_0012,10.84,2.59,5.74,8.33
REQ_0010,7.06,4.2,8.69,12.9
REQ_0011,9.58,3.81,8.24,12.05
REQ_0015,13.78,6.18,3.31,9.5
REQ_0014,13.05,6.13,4.8,10.92
REQ_0013,11.77,4.8,8.67,13.47
REQ_0019,20.02,5.22,3.01,8.23
REQ_0016,15.27,6.36,6.88,13.25
REQ_0017,15.27,8.0,6.55,14.55
REQ_0018,19.37,4.6,8.37,12.97
REQ_0021,24.44,4.08,6.78,10.85
REQ_0022,25.67,4.15,6.2,10.35
REQ_0020,23.55,4.71,8.7,13.41
REQ_0023,27.62,4.72,5.12,9.84
REQ_0024,27.96,7.33,4.42,11.76
REQ_0025,28.15,7.88,6.46,14.33
REQ_0026,28.39,8.57,6.21,14.78
REQ_0027,33.71,3.75,6.12,9.87
REQ_0028,33.85,5.87,6.68,12.55
REQ_0030,34.73,8.44,3.42,11.86
REQ_0031,35.15,8.42,3.11,11.54
REQ_0029,34.12,8.36,7.08,15.44
REQ_0034,41.0,5.69,3.69,9.38
REQ_0033,38.89,7.7,6.22,13.92
REQ_0032,38.56,7.84,6.94,14.77
REQ_0035,45.37,4.18,8.74,12.92
REQ_0036,46.46,3.92,8.78,12.7
REQ_0038,50.02,3.31,5.9,9.21
REQ_0037,49.5,3.31,6.52,9.83
REQ_0041,54.9,4.33,4.88,9.21
REQ_0042,55.49,3.84,4.86,8.7
REQ_0040,52.21,6.96,5.06,12.02
REQ_0039,50.3,7.99,6.73,14.72
REQ_0044,56.79,7.4,3.76,11.16
REQ_0043,55.55,8.56,4.07,12.63
REQ_0045,57.89,6.34,4.92,11.26
REQ_0046,58.01,7.01,6.49,13.5
REQ_0049,59.19,9.95,4.52,14.47
REQ_0048,59.1,9.08,5.52,14.6
REQ_0047,58.38,9.57,6.61,16.17
REQ_0050,62.07,9.44,6.88,16.32
REQ_0052,63.98,9.72,5.66,15.39
REQ_0051,62.85,10.81,5.97,16.78
REQ_0053,65.0,9.55,5.8,15.35
REQ_0056,69.44,10.19,3.49,13.68
